,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Aout,Sep,Oct,Nv,Dec
06:00,0,0,0,0,0,0,0,0,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0
08:00,0,0,0,0,0,0,0,0,0,0,0,0
09:00,3,3,3,3,3,2,2,2,3,3,3,3
10:00,5,5,5,5,5,3,3,3,5,5,5,5
11:00,8,8,8,8,5,4,4,4,5,8,8,8
12:00,10,10,10,9,8,4,4,4,8,10,10,10
13:00,13,13,13,10,8,4,4,4,8,13,13,13
14:00,12,12,12,10,8,4,4,4,8,12,12,12
15:00,10,10,10,9,8,4,4,4,8,10,10,10
16:00,8,8,8,8,5,4,4,4,5,8,8,8
17:00,5,5,5,5,3,3,3,3,3,5,5,5
18:00,3,3,3,3,3,2,2,2,3,3,3,3
19:00,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
